WordA,WordB,CollegeFreq,Sentence,Sentence (WordA and WordB),Sentence (WordB and WordA)
fathers,mothers,293,The community center had summer camps for X and Y to send their kids to while they worked.,The community center had summer camps for fathers and mothers to send their kids to while they worked.,The community center had summer camps for mothers and fathers to send their kids to while they worked.
feelings,thoughts,445,"Whenever Pat was frustrated, her X and Y got muddled and she couldn't make any decisions.","Whenever Pat was frustrated, her feelings and thoughts got muddled and she couldn't make any decisions.","Whenever Pat was frustrated, her thoughts and feelings got muddled and she couldn't make any decisions."
feet,hands,533,The child's X and Y were numb from playing in the snow.,The child's feet and hands were numb from playing in the snow.,The child's hands and feet were numb from playing in the snow.
feet,legs,180,The soccer player injured their X and Y during a very intense game.,The soccer player injured their feet and legs during a very intense game.,The soccer player injured their legs and feet during a very intense game.
female,male,1616,The dog breeder has X and Y puppies coming up for sale soon.,The dog breeder has female and male puppies coming up for sale soon.,The dog breeder has male and female puppies coming up for sale soon.
fiction,poetry,60,Maddy liked to read X and Y in her spare time.,Maddy liked to read fiction and poetry in her spare time.,Maddy liked to read poetry and fiction in her spare time.
field,stream,14,"There was a X and Y near his house, which made him very happy.","There was a field and stream near his house, which made him very happy.","There was a stream and field near his house, which made him very happy."
figures,words,18,Hannah used X and Y to explain her findings.,Hannah used figures and words to explain her findings.,Hannah used words and figures to explain her findings.
fingers,thumb,55,Demi broke her X and Y when she fell while roller skating.,Demi broke her fingers and thumb when she fell while roller skating.,Demi broke her thumb and fingers when she fell while roller skating.
fire,light,20,"According to Mandy, the lack of X and Y ruined the evening's ambiance.","According to Mandy, the lack of fire and light ruined the evening's ambiance.","According to Mandy, the lack of light and fire ruined the evening's ambiance."
fire,police,117,Both the X and Y departments put on a barbeque for the community.,Both the fire and police departments put on a barbeque for the community.,Both the police and fire departments put on a barbeque for the community.
flame,smoke,42,"He noticed the X and Y coming from his neighbor's house, so he called the fire department.","He noticed the flame and smoke coming from his neighbor's house, so he called the fire department.","He noticed the smoke and flame coming from his neighbor's house, so he called the fire department."
flames,smoke,31,"Down the street, you could see the X and Y from the house that was on fire.","Down the street, you could see the flames and smoke from the house that was on fire.","Down the street, you could see the smoke and flames from the house that was on fire."
flesh,skin,26,Cory explained the difference between X and Y to his little brother.,Cory explained the difference between flesh and skin to his little brother.,Cory explained the difference between skin and flesh to his little brother.
flowers,herbs,25,Dan grew X and Y in his own backyard.,Dan grew flowers and herbs in his own backyard.,Dan grew herbs and flowers in his own backyard.
flowers,plants,73,All of the X and Y in the Arboretum made it a popular spot for walks.,All of the flowers and plants in the Arboretum made it a popular spot for walks.,All of the plants and flowers in the Arboretum made it a popular spot for walks.
fog,mist,14,All of the X and Y made Terry want to stay inside the house all day.,All of the fog and mist made Terry want to stay inside the house all day.,All of the mist and fog made Terry want to stay inside the house all day.
food,shelter,137,The stray dog searched for X and Y while running through the streets.,The stray dog searched for food and shelter while running through the streets.,The stray dog searched for shelter and food while running through the streets.
force,violence,59,They didn't like how he used X and Y to get his way.,They didn't like how he used force and violence to get his way.,They didn't like how he used violence and force to get his way.
forefinger,thumb,179,The ability to use the X and Y are very important evolutionary traits that differentiate humans from apes.,The ability to use the forefinger and thumb are very important evolutionary traits that differentiate humans from apes.,The ability to use the thumb and forefinger are very important evolutionary traits that differentiate humans from apes.
fork,spoon,19,Tara needed both a X and Y to properly eat her meal.,Tara needed both a fork and spoon to properly eat her meal.,Tara needed both a spoon and fork to properly eat her meal.
forms,materials,10,Lee didn't have the necessary X and Y to move forward with the task.,Lee didn't have the necessary forms and materials to move forward with the task.,Lee didn't have the necessary materials and forms to move forward with the task.
freedom,security,28,Mary searched for X and Y in her next job opportunity.,Mary searched for freedom and security in her next job opportunity.,Mary searched for security and freedom in her next job opportunity.
friends,relations,77,Ciara had many X and Y so she was rarely lonely.,Ciara had many friends and relations so she was rarely lonely.,Ciara had many relations and friends so she was rarely lonely.
fruit,nuts,19,All he had in his kitchen was X and Y so he made a trip to the grocery store.,All he had in his kitchen was fruit and nuts so he made a trip to the grocery store.,All he had in his kitchen was nuts and fruit so he made a trip to the grocery store.
fruits,vegetables,619,"Growing up, Paul ate his X and Y everyday in order to be healthy.","Growing up, Paul ate his fruits and vegetables everyday in order to be healthy.","Growing up, Paul ate his vegetables and fruits everyday in order to be healthy."
fun,games,51,Sally promised that there would be X and Y at her birthday party.,Sally promised that there would be fun and games at her birthday party.,Sally promised that there would be games and fun at her birthday party.
future,past,263,Jazmin wanted to talk about the X and Y of the company she was interviewing for.,Jazmin wanted to talk about the future and past of the company she was interviewing for.,Jazmin wanted to talk about the past and future of the company she was interviewing for.
gas,oil,965,"Sam had just bought a new car and didn't know the difference between X and Y, so she ruined her car.","Sam had just bought a new car and didn't know the difference between gas and oil, so she ruined her car.","Sam had just bought a new car and didn't know the difference between oil and gas, so she ruined her car."
gentlemen,ladies,465,The hostess in the venue lead the X and Y to their respective tables at the wedding banquet.,The hostess in the venue lead the gentlemen and ladies to their respective tables at the wedding banquet.,The hostess in the venue lead the ladies and gentlemen to their respective tables at the wedding banquet.
gin,tonic,34,"After a long day of work, he had a X and Y to unwind and celebrate the weekend.","After a long day of work, he had a gin and tonic to unwind and celebrate the weekend.","After a long day of work, he had a tonic and gin to unwind and celebrate the weekend."
glass,steel,38,The architect wanted the building to have a lot of X and Y to make it look sleek and modern. ,The architect wanted the building to have a lot of glass and steel to make it look sleek and modern. ,The architect wanted the building to have a lot of steel and glass to make it look sleek and modern. 
god,man,465,The friends had a discussion about the relationship between X and Y after school last week.,The friends had a discussion about the relationship between god and man after school last week.,The friends had a discussion about the relationship between man and god after school last week.
goods,services,1440,The village people would not trade X and Y for money because they don't use currency.,The village people would not trade goods and services for money because they don't use currency.,The village people would not trade services and goods for money because they don't use currency.
gratitude,joy,28,David felt X and Y when his kids made him breakfast in bed.,David felt gratitude and joy when his kids made him breakfast in bed.,David felt joy and gratitude when his kids made him breakfast in bed.
groups,individuals,410,Differentiating between X and Y became increasingly difficult as the crowd grew larger.,Differentiating between groups and individuals became increasingly difficult as the crowd grew larger.,Differentiating between individuals and groups became increasingly difficult as the crowd grew larger.
guidance,information,30,She got a lot of X and Y from her older sister about the college admissions process.,She got a lot of guidance and information from her older sister about the college admissions process.,She got a lot of information and guidance from her older sister about the college admissions process.
gums,teeth,34,You should take care of your X and Y in order to have optimal dental hygiene.,You should take care of your gums and teeth in order to have optimal dental hygiene.,You should take care of your teeth and gums in order to have optimal dental hygiene.
hair,skin,87,The doctor recommended X and Y supplements to some of her patients.,The doctor recommended hair and skin supplements to some of her patients.,The doctor recommended skin and hair supplements to some of her patients.
hands,knees,314,Chris had to get on his X and Y to look for the button that fell off his shirt.,Chris had to get on his hands and knees to look for the button that fell off his shirt.,Chris had to get on his knees and hands to look for the button that fell off his shirt.
head,shoulders,235,The doctor looked at Ashley's X and Y because she said that both were bothering her.,The doctor looked at Ashley's head and shoulders because she said that both were bothering her.,The doctor looked at Ashley's shoulders and head because she said that both were bothering her.
head,tail,68,There were white spots on the X and Y of the tiny dog.,There were white spots on the head and tail of the tiny dog.,There were white spots on the tail and head of the tiny dog.
health,spirits,47,In order to improve their X and Y the couple decided to go for long daily walks. ,In order to improve their health and spirits the couple decided to go for long daily walks. ,In order to improve their spirits and health the couple decided to go for long daily walks. 
hearing,sight,74,His grandma lost her X and Y so she needed to live in a nursing home.,His grandma lost her hearing and sight so she needed to live in a nursing home.,His grandma lost her sight and hearing so she needed to live in a nursing home.
heart,mind,401,It took a long time for Sarah's X and Y to recover after her husband died.,It took a long time for Sarah's heart and mind to recover after her husband died.,It took a long time for Sarah's mind and heart to recover after her husband died.
heir,son,127,The king's X and Y went missing after the battle.,The king's heir and son went missing after the battle.,The king's son and heir went missing after the battle.
help,understanding,10,She appreciated Claire's X and Y when it came to teaching John how to ride a bike.,She appreciated Claire's help and understanding when it came to teaching John how to ride a bike.,She appreciated Claire's understanding and help when it came to teaching John how to ride a bike.
history,identity,13,Jonathon was unsure about the X and Y of the statue he saw in the park.,Jonathon was unsure about the history and identity of the statue he saw in the park.,Jonathon was unsure about the identity and history of the statue he saw in the park.
honey,milk,105,Jack's mother gave him X and Y in order to calm him after a nightmare.,Jack's mother gave him honey and milk in order to calm him after a nightmare.,Jack's mother gave him milk and honey in order to calm him after a nightmare.
horses,wagons,26,"Instead of a car, they used X and Y to move their belongings to a new town.","Instead of a car, they used horses and wagons to move their belongings to a new town.","Instead of a car, they used wagons and horses to move their belongings to a new town."
houses,shops,31,"The town is pretty small, so the X and Y are really close to each other.","The town is pretty small, so the houses and shops are really close to each other.","The town is pretty small, so the shops and houses are really close to each other."
humility,pride,11,It is hard to have both X and Y when one is rich and famous.,It is hard to have both humility and pride when one is rich and famous.,It is hard to have both pride and humility when one is rich and famous.
husband,wife,997, Because the X and Y didn't love each other anymore they pondered going their separate ways., Because the husband and wife didn't love each other anymore they pondered going their separate ways., Because the wife and husband didn't love each other anymore they pondered going their separate ways.
husbands,wives,252,The counselor met with many X and Y throughout his long career.,The counselor met with many husbands and wives throughout his long career.,The counselor met with many wives and husbands throughout his long career.
ice,snow,258,All of the X and Y outside made Luis want to stay in all day.,All of the ice and snow outside made Luis want to stay in all day.,All of the snow and ice outside made Luis want to stay in all day.
ice,water,51,The kids went all over town to find X and Y since their air conditioner was broken.,The kids went all over town to find ice and water since their air conditioner was broken.,The kids went all over town to find water and ice since their air conditioner was broken.
Illinois,Missouri,23,Sam argues that X and Y are the best states to live in.,Sam argues that Illinois and Missouri are the best states to live in.,Sam argues that Missouri and Illinois are the best states to live in.
improvements,land,16,Timothy said that the hotel needed more X and Y to be able to make enough money.,Timothy said that the hotel needed more improvements and land to be able to make enough money.,Timothy said that the hotel needed more land and improvements to be able to make enough money.
inclination,time,10,Samuel had the X and Y to help his little brother with his homework.,Samuel had the inclination and time to help his little brother with his homework.,Samuel had the time and inclination to help his little brother with his homework.
influence,power,291,The employee used her X and Y in the company in order to get a raise.,The employee used her influence and power in the company in order to get a raise.,The employee used her power and influence in the company in order to get a raise.
influence,prestige,37,The doctor's X and Y made her popular with patients.,The doctor's influence and prestige made her popular with patients.,The doctor's prestige and influence made her popular with patients.
information,material,16,Fred lacked the X and Y to work on the project.,Fred lacked the information and material to work on the project.,Fred lacked the material and information to work on the project.
ink,paper,54,All you need is X and Y in order to write the next great novel.,All you need is ink and paper in order to write the next great novel.,All you need is paper and ink in order to write the next great novel.
iron,wood,27,The company purchased X and Y for their latest construction project.,The company purchased iron and wood for their latest construction project.,The company purchased wood and iron for their latest construction project.
jacket,trousers,17,Ted needed to iron his X and Y before his big meeting.,Ted needed to iron his jacket and trousers before his big meeting.,Ted needed to iron his trousers and jacket before his big meeting.
jams,jellies,23,Jake started making X and Y with all the fruit he was growing in his garden.,Jake started making jams and jellies with all the fruit he was growing in his garden.,Jake started making jellies and jams with all the fruit he was growing in his garden.
jaws,teeth,25,Teddy was surprised at how large the X and Y of the crocodiles he saw at the swamp were.,Teddy was surprised at how large the jaws and teeth of the crocodiles he saw at the swamp were.,Teddy was surprised at how large the teeth and jaws of the crocodiles he saw at the swamp were.
joy,pleasure,26,Tucking yourself into bed provides a great sense of X and Y at the end of a long day.,Tucking yourself into bed provides a great sense of joy and pleasure at the end of a long day.,Tucking yourself into bed provides a great sense of pleasure and joy at the end of a long day.
July,June,143,Max was planning to take off X and Y from work so he could travel through Asia.,Max was planning to take off July and June from work so he could travel through Asia.,Max was planning to take off June and July from work so he could travel through Asia.
kind,quantity,17,This was the X and Y of bread that he needed for the recipe.,This was the kind and quantity of bread that he needed for the recipe.,This was the quantity and kind of bread that he needed for the recipe.
knowledge,skills,406,"Although Cassie's X and Y were both strong, her exams were still difficult.","Although Cassie's knowledge and skills were both strong, her exams were still difficult.","Although Cassie's skills and knowledge were both strong, her exams were still difficult."
labor,money,16,The amount of X and Y required to keep the farm was not worth it to Mark.,The amount of labor and money required to keep the farm was not worth it to Mark.,The amount of money and labor required to keep the farm was not worth it to Mark.
land,sea,384,They had to travel across X and Y to get to their final destination.,They had to travel across land and sea to get to their final destination.,They had to travel across sea and land to get to their final destination.
landings,takeoffs,16,Christian enjoyed watching the X and Y of the planes at the airport.,Christian enjoyed watching the landings and takeoffs of the planes at the airport.,Christian enjoyed watching the takeoffs and landings of the planes at the airport.
law,order,632,There was a lack of X and Y that caused some chaos.,There was a lack of law and order that caused some chaos.,There was a lack of order and law that caused some chaos.
lecturer,writer,15,She was both a X and Y but wanted to be an actor instead.,She was both a lecturer and writer but wanted to be an actor instead.,She was both a writer and lecturer but wanted to be an actor instead.
left,right,1657,You should look X and Y before crossing the street.,You should look left and right before crossing the street.,You should look right and left before crossing the street.
length,quality,10,She thought the X and Y of the boat would impress her friends.,She thought the length and quality of the boat would impress her friends.,She thought the quality and length of the boat would impress her friends.
length,weight,28,She took note of the X and Y of the bed before trying to bring it into the small room.,She took note of the length and weight of the bed before trying to bring it into the small room.,She took note of the weight and length of the bed before trying to bring it into the small room.
libraries,museums,31,The amount of time he spent in X and Y surpassed the amount of time he spent at home.,The amount of time he spent in libraries and museums surpassed the amount of time he spent at home.,The amount of time he spent in museums and libraries surpassed the amount of time he spent at home.
life,religion,19,Jenny talked about X and Y with her brother and sister.,Jenny talked about life and religion with her brother and sister.,Jenny talked about religion and life with her brother and sister.
light,shadow,119,It is important to consider both X and Y when creating a still life painting.,It is important to consider both light and shadow when creating a still life painting.,It is important to consider both shadow and light when creating a still life painting.
light,sound,64,The exhibit used X and Y to create an attention-grabbing experience. ,The exhibit used light and sound to create an attention-grabbing experience. ,The exhibit used sound and light to create an attention-grabbing experience. 
location,size,97,The couple told the realtor that X and Y are the most important criteria for picking a house.,The couple told the realtor that location and size are the most important criteria for picking a house.,The couple told the realtor that size and location are the most important criteria for picking a house.
machinery,power,10,She didn't think they had enough X and Y to fulfill the large bulk order.,She didn't think they had enough machinery and power to fulfill the large bulk order.,She didn't think they had enough power and machinery to fulfill the large bulk order.
magazines,newspapers,351,Anna has written articles for many X and Y throughout her career as a journalist.,Anna has written articles for many magazines and newspapers throughout her career as a journalist.,Anna has written articles for many newspapers and magazines throughout her career as a journalist.
magic,superstition,10,He thinks X and Y are definitely not real.,He thinks magic and superstition are definitely not real.,He thinks superstition and magic are definitely not real.
mamma,papa,28,Antonio wants to spend a lot of time with his X and Y while they are in town.,Antonio wants to spend a lot of time with his mamma and papa while they are in town.,Antonio wants to spend a lot of time with his papa and mamma while they are in town.
man,nature,165,Harry wanted to talk about how X and Y interact in today's society.,Harry wanted to talk about how man and nature interact in today's society.,Harry wanted to talk about how nature and man interact in today's society.
man,wife,198,I learned that the X and Y got married after dating for 5 years.,I learned that the man and wife got married after dating for 5 years.,I learned that the wife and man got married after dating for 5 years.
man,woman,678,He noticed that both the X and Y had green sneakers on.,He noticed that both the man and woman had green sneakers on.,He noticed that both the woman and man had green sneakers on.
math,science,115,Ricky discovered that X and Y are his favorite subjects in school.,Ricky discovered that math and science are his favorite subjects in school.,Ricky discovered that science and math are his favorite subjects in school.
meaning,origin,29,Michael was confused about both the X and Y of the folk tale he had just heard.,Michael was confused about both the meaning and origin of the folk tale he had just heard.,Michael was confused about both the origin and meaning of the folk tale he had just heard.
men,officers,424,Nicole's history textbook listed an estimate of the number of X and Y who died during the civil war.,Nicole's history textbook listed an estimate of the number of men and officers who died during the civil war.,Nicole's history textbook listed an estimate of the number of officers and men who died during the civil war.
men,women,7072,The guard instructed the X and Y to form an orderly line.,The guard instructed the men and women to form an orderly line.,The guard instructed the women and men to form an orderly line.
methods,principles,100,She didn't agree with the company's X and Y so she made her opinion known.,She didn't agree with the company's methods and principles so she made her opinion known.,She didn't agree with the company's principles and methods so she made her opinion known.
minerals,vitamins,166,The human body needs both X and Y in order to continue functioning properly.,The human body needs both minerals and vitamins in order to continue functioning properly.,The human body needs both vitamins and minerals in order to continue functioning properly.
misery,pain,23,The people experienced X and Y after they were shipwrecked for months.,The people experienced misery and pain after they were shipwrecked for months.,The people experienced pain and misery after they were shipwrecked for months.
money,time,530,The amount of X and Y required to fix up the old car made it quite the project.,The amount of money and time required to fix up the old car made it quite the project.,The amount of time and money required to fix up the old car made it quite the project.
months,years,117,"After many tiring X and Y, the author finally published their book.","After many tiring months and years, the author finally published their book.","After many tiring years and months, the author finally published their book."
moon,sun,299,Rebecca got a X and Y tattooed on her left arm.,Rebecca got a moon and sun tattooed on her left arm.,Rebecca got a sun and moon tattooed on her left arm.
morning,night,94,Kevin worked both X and Y shifts as an ER nurse.,Kevin worked both morning and night shifts as an ER nurse.,Kevin worked both night and morning shifts as an ER nurse.
mother,son,120,Jack spent more time with his X and Y than any other family member.,Jack spent more time with his mother and son than any other family member.,Jack spent more time with his son and mother than any other family member.
mouth,nostrils,22,"Evan took a look at the X and Y of his dog, and compared them to his own.","Evan took a look at the mouth and nostrils of his dog, and compared them to his own.","Evan took a look at the nostrils and mouth of his dog, and compared them to his own."
movements,positions,12,"After hurting her foot, certain X and Y caused her a lot of pain.","After hurting her foot, certain movements and positions caused her a lot of pain.","After hurting her foot, certain positions and movements caused her a lot of pain."
mr.,mrs.,1558,The couple call each other X and Y Smith even though they aren't married.,The couple call each other mr. and mrs. Smith even though they aren't married.,The couple call each other mrs. and mr. Smith even though they aren't married.
muscles,nerves,52,Allison felt like her X and Y were on fire after running a marathon.,Allison felt like her muscles and nerves were on fire after running a marathon.,Allison felt like her nerves and muscles were on fire after running a marathon.
names,numbers,45,The host asked for both the X and Y of the people who wanted to make reservations. ,The host asked for both the names and numbers of the people who wanted to make reservations. ,The host asked for both the numbers and names of the people who wanted to make reservations. 
nature,size,35,Sometimes it is hard to figure out the X and Y of a problem just from reading about it in the news.,Sometimes it is hard to figure out the nature and size of a problem just from reading about it in the news.,Sometimes it is hard to figure out the size and nature of a problem just from reading about it in the news.
needle,thread,59,He needed a X and Y to fix the hole in his shirt.,He needed a needle and thread to fix the hole in his shirt.,He needed a thread and needle to fix the hole in his shirt.
nights,weekends,16,Clare spent her X and Y working on new recipes for the cookbook she was writing.,Clare spent her nights and weekends working on new recipes for the cookbook she was writing.,Clare spent her weekends and nights working on new recipes for the cookbook she was writing.
nitrogen,oxygen,86,The atmosphere is composed of X and Y as well as other elements.,The atmosphere is composed of nitrogen and oxygen as well as other elements.,The atmosphere is composed of oxygen and nitrogen as well as other elements.
north,south,1421,The family moved X and Y a couple of times before deciding on their current home.,The family moved north and south a couple of times before deciding on their current home.,The family moved south and north a couple of times before deciding on their current home.
north,west,357,The boat sailed X and Y to get to its destination.,The boat sailed north and west to get to its destination.,The boat sailed west and north to get to its destination.
nose,throat,94,Springtime allergies make my X and Y a lot more irritated than the rest of the year.,Springtime allergies make my nose and throat a lot more irritated than the rest of the year.,Springtime allergies make my throat and nose a lot more irritated than the rest of the year.
novelist,poet,40,Lydia is a successful X and Y and is praised for her writing style. ,Lydia is a successful novelist and poet and is praised for her writing style. ,Lydia is a successful poet and novelist and is praised for her writing style. 
novels,stories,66,The famous author had published many X and Y over the past twenty years.,The famous author had published many novels and stories over the past twenty years.,The famous author had published many stories and novels over the past twenty years.
novels,tales,16,He had always loved X and Y so he majored in English in college.,He had always loved novels and tales so he majored in English in college.,He had always loved tales and novels so he majored in English in college.
pad,pencil,33,Antonio brought his X and Y to sketch the statues in the park.,Antonio brought his pad and pencil to sketch the statues in the park.,Antonio brought his pencil and pad to sketch the statues in the park.
pain,pressure,10,Jeremy felt X and Y in his chest that concerned him.,Jeremy felt pain and pressure in his chest that concerned him.,Jeremy felt pressure and pain in his chest that concerned him.
pain,shame,13,Todd felt X and Y when he talked about his divorce.,Todd felt pain and shame when he talked about his divorce.,Todd felt shame and pain when he talked about his divorce.
paper,pen,80,"Even though most people use computers, I prefer to use X and Y to take my notes in class.","Even though most people use computers, I prefer to use paper and pen to take my notes in class.","Even though most people use computers, I prefer to use pen and paper to take my notes in class."
peace,quiet,177,The students reserved a spot in the library for some X and Y to study for their upcoming exams.,The students reserved a spot in the library for some peace and quiet to study for their upcoming exams.,The students reserved a spot in the library for some quiet and peace to study for their upcoming exams.
pepper,salt,770,The food is in need of X and Y because it's rather bland.,The food is in need of pepper and salt because it's rather bland.,The food is in need of salt and pepper because it's rather bland.
piano,violin,84,Alex loved to play the X and Y so they took lessons for both instruments.,Alex loved to play the piano and violin so they took lessons for both instruments.,Alex loved to play the violin and piano so they took lessons for both instruments.
pitch,volume,10,Musicians pride themselves on being able to adjust X and Y in order to produce art.,Musicians pride themselves on being able to adjust pitch and volume in order to produce art.,Musicians pride themselves on being able to adjust volume and pitch in order to produce art.
place,time,1129,Finding a X and Y for the meeting was very difficult due to the boss's busy schedule.,Finding a place and time for the meeting was very difficult due to the boss's busy schedule.,Finding a time and place for the meeting was very difficult due to the boss's busy schedule.
plans,projects,17,She had many X and Y in the works for her small business.,She had many plans and projects in the works for her small business.,She had many projects and plans in the works for her small business.
poetry,prose,206,The professor taught both X and Y in his Renaissance literature class.,The professor taught both poetry and prose in his Renaissance literature class.,The professor taught both prose and poetry in his Renaissance literature class.
politics,religion,151,The strangers wanted to avoid discussing X and Y to avoid starting an argument.,The strangers wanted to avoid discussing politics and religion to avoid starting an argument.,The strangers wanted to avoid discussing religion and politics to avoid starting an argument.
power,resources,43,The business had the X and Y to create a multi-million dollar company.,The business had the power and resources to create a multi-million dollar company.,The business had the resources and power to create a multi-million dollar company.
pressure,temperature,417,He learned about the relationship between X and Y in his science class.,He learned about the relationship between pressure and temperature in his science class.,He learned about the relationship between temperature and pressure in his science class.
prose,verse,160,They discussed differences between X and Y in her writing class.,They discussed differences between prose and verse in her writing class.,They discussed differences between verse and prose in her writing class.
radar,radio,12,The soldiers used X and Y to plan their next moves.,The soldiers used radar and radio to plan their next moves.,The soldiers used radio and radar to plan their next moves.
radio,television,604,Tania wanted to work in both X and Y and couldn't decide which she liked more.,Tania wanted to work in both radio and television and couldn't decide which she liked more.,Tania wanted to work in both television and radio and couldn't decide which she liked more.
research,training,101,The surgeon had to do a lot of X and Y before attempting the risky procedure.,The surgeon had to do a lot of research and training before attempting the risky procedure.,The surgeon had to do a lot of training and research before attempting the risky procedure.
rights,wrongs,44,She considered the X and Y of the situation before moving forward.,She considered the rights and wrongs of the situation before moving forward.,She considered the wrongs and rights of the situation before moving forward.
rock,roll,231,He said he was ready to X and Y after getting off of work.,He said he was ready to rock and roll after getting off of work.,He said he was ready to roll and rock after getting off of work.
sailors,soldiers,139,"The little boy thought X and Y were cool, so he liked to dress up as them for Halloween.","The little boy thought sailors and soldiers were cool, so he liked to dress up as them for Halloween.","The little boy thought soldiers and sailors were cool, so he liked to dress up as them for Halloween."
shoes,socks,60,"When it rains, your X and Y become more of a nuisance than something to protect your feet.","When it rains, your shoes and socks become more of a nuisance than something to protect your feet.","When it rains, your socks and shoes become more of a nuisance than something to protect your feet."
shower,tub,16,Lilly wanted to install a X and Y into her new bathroom.,Lilly wanted to install a shower and tub into her new bathroom.,Lilly wanted to install a tub and shower into her new bathroom.
sidewalks,streets,27,All of the X and Y were so busy that Mike decided not to leave his house.,All of the sidewalks and streets were so busy that Mike decided not to leave his house.,All of the streets and sidewalks were so busy that Mike decided not to leave his house.
sights,sounds,133,"While traveling, Kim wanted to experience the X and Y of the city she was visiting.","While traveling, Kim wanted to experience the sights and sounds of the city she was visiting.","While traveling, Kim wanted to experience the sounds and sights of the city she was visiting."
son,wife,110,Roman lives with his X and Y in an apartment downtown.,Roman lives with his son and wife in an apartment downtown.,Roman lives with his wife and son in an apartment downtown.
south,west,422,"The compass was broken, so it would only point to X and Y instead of all four directions.","The compass was broken, so it would only point to south and west instead of all four directions.","The compass was broken, so it would only point to west and south instead of all four directions."
spring,summer,354,Maddy said that X and Y are her favorite seasons.,Maddy said that spring and summer are her favorite seasons.,Maddy said that summer and spring are her favorite seasons.
stress,tension,30,"In order to get rid of X and Y after his exam, Zack went for a run.","In order to get rid of stress and tension after his exam, Zack went for a run.","In order to get rid of tension and stress after his exam, Zack went for a run."
sunrise,sunset,61,Andrew loved to be outside at X and Y during the summer months.,Andrew loved to be outside at sunrise and sunset during the summer months.,Andrew loved to be outside at sunset and sunrise during the summer months.
sympathy,understanding,61,Being a therapist requires a lot of X and Y because you often have to deal with people in rough patches.,Being a therapist requires a lot of sympathy and understanding because you often have to deal with people in rough patches.,Being a therapist requires a lot of understanding and sympathy because you often have to deal with people in rough patches.
teaching,writing,35,He has discovered that X and Y are what he wants to do for a career.,He has discovered that teaching and writing are what he wants to do for a career.,He has discovered that writing and teaching are what he wants to do for a career.
testament,will,231,Louis discussed his X and Y with his lawyer last week.,Louis discussed his testament and will with his lawyer last week.,Louis discussed his will and testament with his lawyer last week.
Thursday,Tuesday,26,Don's manager scheduled him for work on X and Y every week for the next month.,Don's manager scheduled him for work on Thursday and Tuesday every week for the next month.,Don's manager scheduled him for work on Tuesday and Thursday every week for the next month.
Tories,Whigs,23,Luke didn't know the difference between the X and Y so he asked his political science professor about them.,Luke didn't know the difference between the Tories and Whigs so he asked his political science professor about them.,Luke didn't know the difference between the Whigs and Tories so he asked his political science professor about them.
turns,twists,117,The movie had many different X and Y that left the audience on the edge of their seats.,The movie had many different turns and twists that left the audience on the edge of their seats.,The movie had many different twists and turns that left the audience on the edge of their seats.
vinegar,water,19,Nicole needed X and Y for the recipe she was trying out.,Nicole needed vinegar and water for the recipe she was trying out.,Nicole needed water and vinegar for the recipe she was trying out.
wisdom,wit,40,Clare believed she gained a lot of X and Y throughout her time in college.,Clare believed she gained a lot of wisdom and wit throughout her time in college.,Clare believed she gained a lot of wit and wisdom throughout her time in college.
