WordA,WordB,Sentence,reading_times_alpha,reading_times_nonalpha
paper,pen,"Even though most people use computers, I prefer to use X and Y to take my notes in class.",-28.068256855010986,-29.461220026016235
peace,quiet,The students reserved a spot in the library for some X and Y to study for their upcoming exams.,-10.011068306863308,-16.55090880393982
pepper,salt,The food is in need of X and Y because it's rather bland.,-49.27529239654541,-48.357823848724365
piano,violin,Alex loved to play the X and Y so they took lessons for both instruments.,-45.3137286901474,-45.15281295776367
pitch,volume,Musicians pride themselves on being able to adjust X and Y in order to produce art.,-53.181228160858154,-52.67472553253174
place,time,Finding a X and Y for the meeting was very difficult due to the boss's busy schedule.,-21.181517601013184,-20.28836226463318
plans,projects,She had many X and Y in the works for her small business.,-48.44687604904175,-47.348530292510986
poetry,prose,The professor taught both X and Y in his Renaissance literature class.,-47.92031955718994,-50.12084341049194
politics,religion,The strangers wanted to avoid discussing X and Y to avoid starting an argument.,-57.32096481323242,-57.82457160949707
power,resources,The business had the X and Y to create a multi-million dollar company.,-47.1699800491333,-47.902212619781494
pressure,temperature,He learned about the relationship between X and Y in his science class.,-49.60935306549072,-49.44153022766113
prose,verse,They discussed differences between X and Y in her writing class.,-49.31869411468506,-47.61048364639282
radar,radio,The soldiers used X and Y to plan their next moves.,-43.92911124229431,-44.82218384742737
radio,television,Tania wanted to work in both X and Y and couldn't decide which she liked more.,-46.47890305519104,-46.47225999832153
research,training,The surgeon had to do a lot of X and Y before attempting the risky procedure.,-56.73055934906006,-56.79207801818848
rights,wrongs,She considered the X and Y of the situation before moving forward.,-43.82366704940796,-42.66767072677612
rock,roll,He said he was ready to X and Y after getting off of work.,-54.53862905502319,-54.82919979095459
sailors,soldiers,"The little boy thought X and Y were cool, so he liked to dress up as them for Halloween.",-13.695933640003204,-13.346793091390282
shoes,socks,"When it rains, your X and Y become more of a nuisance than something to protect your feet.",-14.126543240621686,-13.079301845864393
shower,tub,Lilly wanted to install a X and Y into her new bathroom.,-49.631378173828125,-48.61329221725464
sidewalks,streets,All of the X and Y were so busy that Mike decided not to leave his house.,-30.074063062667847,-18.45782309770584
sights,sounds,"While traveling, Kim wanted to experience the X and Y of the city she was visiting.",-14.223611950874329,-13.353267297148705
son,wife,Roman lives with his X and Y in an apartment downtown.,-42.77094554901123,-44.01879835128784
south,west,"The compass was broken, so it would only point to X and Y instead of all four directions.",-36.67452681064606,-38.08838438987732
spring,summer,Maddy said that X and Y are her favorite seasons.,-53.30290460586548,-53.2525520324707
stress,tension,"In order to get rid of X and Y after his exam, Zack went for a run.",-30.755621075630188,-36.049761056900024
sunrise,sunset,Andrew loved to be outside at X and Y during the summer months.,-47.60173320770264,-47.477378845214844
sympathy,understanding,Being a therapist requires a lot of X and Y because you often have to deal with people in rough patches.,-24.4144287109375,-23.476986408233643
teaching,writing,He has discovered that X and Y are what he wants to do for a career.,-52.74783802032471,-53.4257926940918
testament,will,Louis discussed his X and Y with his lawyer last week.,-46.891845703125,-50.69135761260986
Thursday,Tuesday,Don's manager scheduled him for work on X and Y every week for the next month.,-14.274684265255928,-9.853611314785667
Tories,Whigs,Luke didn't know the difference between the X and Y so he asked his political science professor about them.,-14.061560399830341,-13.092816637363285
turns,twists,The movie had many different X and Y that left the audience on the edge of their seats.,-46.939560413360596,-47.33639192581177
vinegar,water,Nicole needed X and Y for the recipe she was trying out.,-42.89137649536133,-49.106457233428955
wisdom,wit,Clare believed she gained a lot of X and Y throughout her time in college.,-59.19411277770996,-59.11605358123779
