,WordA,WordB,AlphaN,Corpus Sentence,Form,Percept,Culture,Power,Intense,Icon,Freq,Len,Lapse,*BStress,OverallFreq,RelFreq,model.prop,Extremity,Experimental sentence,,,Notes,Too weird?,"""",
72,distinction,fact,The very nature of a choice so grounded * in distinction and fact leads to the valid convictions which *T*-1 become force of will in the manifest leader .,The very nature of a choice so grounded * in distinction and fact leads to the valid convictions which *T*-1 become force of will in the manifest leader .,x,x,,maybe,,,,,,-1,0,NA,0.32033911,0.67966089,x,x,x,,maybe,"""alpha""; 72; x","""nonalpha""; 72; x"
73,gardens,riverbanks,454,"Nonetheless , they take time *ICH*-1 out -- much time -- from the game of grab and these new Western experiments * to go to the gardens and riverbanks .",0,1,0,0,0,0,4.542751605,1,1,0,0,NA,0.67932408,0.67932408,Going to the X and Y is one of my favorite leisure activities.,Going to the gardens and riverbanks is one of my favorite leisure activities.,Going to the riverbanks and gardens is one of my favorite leisure activities.,,,"""alpha""; 73; Going to the gardens and riverbanks is one of my favorite leisure activities.","""nonalpha""; 73; Going to the riverbanks and gardens is one of my favorite leisure activities."
74,ambush,death,Throughout the land their hit-and-run terrorists spread fear of ambush and death .,Throughout the land their hit-and-run terrorists spread fear of ambush and death .,"Throughout the targeted cities, fear of ambush and death was spread by the terrorists.","Throughout the targeted cities, fear of death and ambush was spread by the terrorists.",,,,,,,,0,232,1,0.67827222,0.67827222,"Throughout the targeted cities, fear of X and Y was spread by the terrorists.","Throughout the targeted cities, fear of ambush and death was spread by the terrorists.","Throughout the targeted cities, fear of death and ambush was spread by the terrorists.",,,"""alpha""; 74; Throughout the targeted cities, fear of ambush and death was spread by the terrorists.","""nonalpha""; 74; Throughout the targeted cities, fear of death and ambush was spread by the terrorists."
75,dryness,dust,"He spoke of the season of dryness and dust , brought * by the monsoon from the northeast , in harmony with the season of rain and mud , brought * by the monsoon from the southwest .","He spoke of the season of dryness and dust , brought * by the monsoon from the northeast , in harmony with the season of rain and mud , brought * by the monsoon from the southwest .",The season of dryness and dust is brought by the monsoon from the northeast.,The season of dust and dryness is brought by the monsoon from the northeast.,,,,,,,,-1,433,0.3833718245,0.67822314,0.67822314,The season of X and Y is brought by the monsoon from the northeast.,The season of dryness and dust is brought by the monsoon from the northeast.,The season of dust and dryness is brought by the monsoon from the northeast.,,,"""alpha""; 75; The season of dryness and dust is brought by the monsoon from the northeast.","""nonalpha""; 75; The season of dust and dryness is brought by the monsoon from the northeast."
76,neck,saddle,809,"The doctor , with the air of a man whose professional interests *T*-1 have found scope , drew Alex 's attention to those excellences which *T*-2 might otherwise have escaped him : the fine color in comb and wattles , the length and quality of neck and saddle hackles , the firm , wide spread of the toes , and a rare justness in the formation of the ear lappets .",0,1,0,0,0,0,1.445352569,1,1,1,284,0.8274647887,0.67700458,0.67700458,x,x,x,,,"""alpha""; 76; x","""nonalpha""; 76; x"
77,unhappiness,women,1263,"`` Well -- women and unhappiness go together '' , I observed *T*-1 profoundly , *-2 adding , `` You can wager your derriere on that '' .",0,-1,0,0,0,0,-4.937330051,-1,-1,0,0,NA,0.32350671,0.67649329,Men who believe that X and Y go together always mess up their dates.,Men who believe that unhappiness and women go together always mess up their dates.,Men who believe that women and unhappiness go together always mess up their dates.,,,"""alpha""; 77; Men who believe that unhappiness and women go together always mess up their dates.","""nonalpha""; 77; Men who believe that women and unhappiness go together always mess up their dates."
78,berries,gardens,"Chiggers were a common pest along streams and where gardens and berries thrived *T*-1 ; ; *-2 so small as *-3 to be scarcely visible to the eye , they buried themselves in the victim 's flesh .","Chiggers were a common pest along streams and where gardens and berries thrived *T*-1 ; ; *-2 so small as *-3 to be scarcely visible to the eye , they buried themselves in the victim 's flesh .",The book on berries and gardens written by the famous botanist is accessible for everyone.,The book on gardens and berries written by the famous botanist is accessible for everyone.,,,,,,,,0,0,NA,0.3262206,0.6737794,The book on X and Y written by the famous botanist is accessible for everyone.,The book on berries and gardens written by the famous botanist is accessible for everyone.,The book on gardens and berries written by the famous botanist is accessible for everyone.,,,"""alpha""; 78; The book on berries and gardens written by the famous botanist is accessible for everyone.","""nonalpha""; 78; The book on gardens and berries written by the famous botanist is accessible for everyone."
79,choir,glee-club,At different times he served as glee-club and choir leader and as organist .,At different times he served as glee-club and choir leader and as organist .,He served as choir and glee-club leader at different times during his college years.,He served as glee-club and choir leader at different times during his college years.,,,,,,,,0,0,NA,0.67230465,0.67230465,He served as X and Y leader at different times during his college years.,He served as choir and glee-club leader at different times during his college years.,He served as glee-club and choir leader at different times during his college years.,,,"""alpha""; 79; He served as choir and glee-club leader at different times during his college years.","""nonalpha""; 79; He served as glee-club and choir leader at different times during his college years."
80,pegs,withes,874,They were held *-1 together by pegs and withes and in later times drawn *-1 by a single ox in thills .,0,0,1,0,0,0,2.675287926,0,0,0,28,1,0.66803455,0.66803455,x,x,x,,,"""alpha""; 80; x","""nonalpha""; 80; x"
81,cry,rustle,"They were covered *-1 with tiny white blossoms , their scant roots clawing at the stony ground , and wild birds darted in and about and through them so they were nearly alive with the rustle and cry .","They were covered *-1 with tiny white blossoms , their scant roots clawing at the stony ground , and wild birds darted in and about and through them so they were nearly alive with the rustle and cry .",All of a sudden the cry and rustle of wild birds filled the warm spring morning.,All of a sudden the rustle and cry of wild birds filled the warm spring morning.,,,,,,,,1,0,NA,0.66651878,0.66651878,All of a sudden the X and Y of wild birds filled the warm spring morning.,All of a sudden the cry and rustle of wild birds filled the warm spring morning.,All of a sudden the rustle and cry of wild birds filled the warm spring morning.,,,"""alpha""; 81; All of a sudden the cry and rustle of wild birds filled the warm spring morning.","""nonalpha""; 81; All of a sudden the rustle and cry of wild birds filled the warm spring morning."
82,sky,wasteland,1069,"She studied him hopefully , yearningly ; ; against the limitless background of sky and wasteland it *EXP*-1 was easy * to confirm her analysis .",0,-1,1,0,0,0,4.017656576,1,0,0,0,NA,0.66588718,0.66588718,The photographer positioned the model against the background of X and Y for an ideal picture.,The photographer positioned the model against the background of sky and wasteland for an ideal picture.,The photographer positioned the model against the background of wasteland and sky for an ideal picture.,,,"""alpha""; 82; The photographer positioned the model against the background of sky and wasteland for an ideal picture.","""nonalpha""; 82; The photographer positioned the model against the background of wasteland and sky for an ideal picture."
83,painting,sculptures,853,"*-1 Writing in a large volume on the nude in painting and sculptures , titled * The Nude : A Study In Ideal Form , Kenneth Clark declares : `` The human body , as a nucleus , is rich in associations .",0,0,1,0,0,0,2.513086674,0,0,0,495,0.7292929293,0.66455758,0.66455758,The theme of conflict in X and Y is one of Maria's areas of interest.,The theme of conflict in painting and sculptures is one of Maria's areas of interest.,The theme of conflict in sculptures and painting is one of Maria's areas of interest.,,,"""alpha""; 83; The theme of conflict in painting and sculptures is one of Maria's areas of interest.","""nonalpha""; 83; The theme of conflict in sculptures and painting is one of Maria's areas of interest."
84,plane,poplar,891,"The promenade , for example , continues *-2 to take place on the Chahar Bagh , a mile-long garden of plane and poplar trees that *T*-1 now serves as the city 's principal street .",0,0,0,0,0,0,3.396770837,1,1,1,170,0.6588235294,0.66389493,0.66389493,x,x,x,"people won't know what ""plane trees"" are",yes,"""alpha""; 84; x","""nonalpha""; 84; x"
85,chorus,verses,"Each song or ditty was prefaced *-1 by an author 's note which *T*-2 indicated the origin and meaning of the song as well as special interest 0 the song had *T*-3 , musical arrangement , and most of the chorus and verses .","Each song or ditty was prefaced *-1 by an author 's note which *T*-2 indicated the origin and meaning of the song as well as special interest 0 the song had *T*-3 , musical arrangement , and most of the chorus and verses .",Most of the chorus and verses of the song had special meanings to the author.,Most of the verses and chorus of the song had special meanings to the author.,,,,,,,,0,532,0.1484962406,0.66346109,0.66346109,Most of the X and Y of the song had special meanings to the author.,Most of the chorus and verses of the song had special meanings to the author.,Most of the verses and chorus of the song had special meanings to the author.,,,"""alpha""; 85; Most of the chorus and verses of the song had special meanings to the author.","""nonalpha""; 85; Most of the verses and chorus of the song had special meanings to the author."
86,scimitars,sultans,1116,`` I am tired of sultans and scimitars '' .,0,-1,0,-1,1,0,-1.977838098,-1,-1,0,0,NA,0.33685815,0.66314185,x,x,x,,,"""alpha""; 86; x","""nonalpha""; 86; x"
87,greed,pettiness,880,"Yes , I had cried out that I knew 0 she 'd do it , but without my * fully realizing it at the time , it was a cry of triumph for her , praise at her deliverance from pettiness and greed -- and guilt .",0,0,0,0,1,0,2.630644502,2,2,1,296,0.4155405405,0.6620885,0.6620885,She is now freed from X and Y by leading a simple life in the countryside.,She is now freed from greed and pettiness by leading a simple life in the countryside.,She is now freed from pettiness and greed by leading a simple life in the countryside.,,,"""alpha""; 87; She is now freed from greed and pettiness by leading a simple life in the countryside.","""nonalpha""; 87; She is now freed from pettiness and greed by leading a simple life in the countryside."
88,sparkle,spring,1094,He was fifteen years older than I -- forty-four -- but full of spring and sparkle .,0,0,0,0,0,0,-3.832374346,-1,-1,-1,150,0,0.33811838,0.66188162,Henry was still full of X and Y even in his fifties.,Henry was still full of sparkle and spring even in his fifties.,Henry was still full of spring and sparkle even in his fifties.,,,"""alpha""; 88; Henry was still full of sparkle and spring even in his fifties.","""nonalpha""; 88; Henry was still full of spring and sparkle even in his fifties."
89,rat-holes,rot,957,"First of all there was the parsonage , an utterly impossible place 0 for civilized people to live in *T*-1 , originally poorly conceived , apparently not repaired * for years , with no plumbing or sewage , with rat-holes and rot .",0,1,0,0,0,0,-6.357199731,-1,-1,-1,0,NA,0.33902711,0.66097289,x,x,x,,,"""alpha""; 89; x","""nonalpha""; 89; x"
90,bankruptcy,death,"Mr. Clifton would have preferred death and bankruptcy to *-3 having his son stay with his wife 's people without *-4 contributing to his and his family 's upkeep , and besides that there were the things that *T*-2 had *-5 to be bought *-1 for the baby , milk and orange juice and vitamins and soap , just plain soap .","Mr. Clifton would have preferred death and bankruptcy to *-3 having his son stay with his wife 's people without *-4 contributing to his and his family 's upkeep , and besides that there were the things that *T*-2 had *-5 to be bought *-1 for the baby , milk and orange juice and vitamins and soap , just plain soap .",The old man has no fear for bankruptcy and death because he regards the well-being of others higher than his own.,The old man has no fear for death and bankruptcy because he regards the well-being of others higher than his own.,this sentence is hilarious but maybe a little too inflamatory for our experiment :),,,,,,,-1,636,0.7311320755,0.33994815,0.66005185,The old man has no fear of X and Y because he regards the well-being of others higher than his own.,The old man has no fear of bankruptcy and death because he regards the well-being of others higher than his own.,The old man has no fear of death and bankruptcy because he regards the well-being of others higher than his own.,this sentence is hilarious but maybe a little too inflamatory for our experiment :),,"""alpha""; 90; The old man has no fear of bankruptcy and death because he regards the well-being of others higher than his own.","""nonalpha""; 90; The old man has no fear of death and bankruptcy because he regards the well-being of others higher than his own."
91,boy,mount,"For a moment , boy and mount hung in midair .","For a moment , boy and mount hung in midair .","For a moment, boy and mount hung in midair, causing gasps from the audience.","For a moment, mount and boy hung in midair, causing gasps from the audience.",,,,,,,,0,0,NA,0.65925714,0.65925714,"For a moment, X and Y hung in midair, causing gasps from the audience.","For a moment, boy and mount hung in midair, causing gasps from the audience.","For a moment, mount and boy hung in midair, causing gasps from the audience.",,,"""alpha""; 91; For a moment, boy and mount hung in midair, causing gasps from the audience.","""nonalpha""; 91; For a moment, mount and boy hung in midair, causing gasps from the audience."
92,flappers,heroes,534,"Unlike the heroes and flappers of the lost generation , they disdain the art of `` necking '' and `` petting '' .",0,0,0,-1,0,0,-4.501665235,0,0,0,0,NA,0.34085173,0.65914827,x,x,x,,,"""alpha""; 92; x","""nonalpha""; 92; x"
93,belts,slings,Cautious feet stepping on leafmold ; ; faint creaking of belts and slings ; ; whispers : he heard none of these .,Cautious feet stepping on leafmold ; ; faint creaking of belts and slings ; ; whispers : he heard none of these .,x,x,,probably,,,,,,0,48,1,0.65431322,0.65431322,x,x,x,,probably,"""alpha""; 93; x","""nonalpha""; 93; x"
94,romance,snobbery,995,We 've arrived at an age for romance and snobbery .,0,1,0,0,0,0,3.368604412,1,1,0,0,NA,0.65418093,0.65418093,Having arrived at an age for X and Y the girls started to behave differently.,Having arrived at an age for romance and snobbery the girls started to behave differently.,Having arrived at an age for snobbery and romance the girls started to behave differently.,,,"""alpha""; 94; Having arrived at an age for romance and snobbery the girls started to behave differently.","""nonalpha""; 94; Having arrived at an age for snobbery and romance the girls started to behave differently."
95,albany,laramie,"All through Albany and Laramie counties , other men were doing the same .","All through Albany and Laramie counties , other men were doing the same .",x,x,,,,,,,,0,157,0.4777070064,0.6539927,0.6539927,x,x,x,,,"""alpha""; 95; x","""nonalpha""; 95; x"
96,gassings,skull-bashings,1066,Ought not an edifying Trial have made every effort * to demonstrate this once and for all by *-2 showing how representative types of `` mere '' anti-Semites were drawn *-1 step by step into the program of skull-bashings and gassings ? ?,0,-1,0,0,-1,0,8.649273532,1,1,0,0,NA,0.6514848,0.6514848,x,x,x,,,"""alpha""; 96; x","""nonalpha""; 96; x"
97,catholics,non-catholics,The second step is * to recognize the substantial agreement -- frequently blurred * by emotionalism and inaccurate newspaper reporting -- already existing between Catholics and Non-Catholics concerning the over-all objectives of family planning .,The second step is * to recognize the substantial agreement -- frequently blurred * by emotionalism and inaccurate newspaper reporting -- already existing between Catholics and Non-Catholics concerning the over-all objectives of family planning .,Our next step is to recognize the substantial agreement already existing between catholics and non-catholics before seeking futher negotiation.,Our next step is to recognize the substantial agreement already existing between non-catholics and catholics before seeking futher negotiation.,,,,,,,,0,0,NA,0.65089408,0.65089408,Our next step is to recognize the substantial agreement already existing between X and Y before seeking futher negotiation.,Our next step is to recognize the substantial agreement already existing between catholics and non-catholics before seeking futher negotiation.,Our next step is to recognize the substantial agreement already existing between non-catholics and catholics before seeking futher negotiation.,,,"""alpha""; 97; Our next step is to recognize the substantial agreement already existing between catholics and non-catholics before seeking futher negotiation.","""nonalpha""; 97; Our next step is to recognize the substantial agreement already existing between non-catholics and catholics before seeking futher negotiation."
98,vitality,will,1220,"Besides , terror had sapped some of Frayne 's vitality and will .",0,1,0,0,0,0,-5.466345529,-2,-2,-1,999,0.7777777778,0.34944712,0.65055288,Terror had sapped some of Anne's X and Y so she was left frozen in the moment.,Terror had sapped some of Anne's vitality and will so she was left frozen in the moment.,Terror had sapped some of Anne's will and vitality so she was left frozen in the moment.,,,"""alpha""; 98; Terror had sapped some of Anne's vitality and will so she was left frozen in the moment.","""nonalpha""; 98; Terror had sapped some of Anne's will and vitality so she was left frozen in the moment."
99,covers,towels,"Table covers and towels were clean , ashtrays empty and supplied *-3 with fresh matches .","Table covers and towels were clean , ashtrays empty and supplied *-3 with fresh matches .",The housemaid came in with clean covers and towels but was startled by the unexpected presence of Mr. Hirschman.,The housemaid came in with clean towels and covers but was startled by the unexpected presence of Mr. Hirschman.,,,,,,,,0,119,0.6470588235,0.65009316,0.65009316,The housemaid came in with clean X and Y but was startled by the unexpected presence of Mr. Hirschman.,The housemaid came in with clean covers and towels but was startled by the unexpected presence of Mr. Hirschman.,The housemaid came in with clean towels and covers but was startled by the unexpected presence of Mr. Hirschman.,,,"""alpha""; 99; The housemaid came in with clean covers and towels but was startled by the unexpected presence of Mr. Hirschman.","""nonalpha""; 99; The housemaid came in with clean towels and covers but was startled by the unexpected presence of Mr. Hirschman."
100,ingratitude,injury,591,Injury and ingratitude would occur .,0,-1,0,0,-1,0,-3.565733736,0,0,0,28,1,0.35622293,0.64377707,"If the child isn't taught how to deal with other people, X and Y are likely to occur.","If the child isn't taught how to deal with other people, ingratitude and injury are likely to occur.","If the child isn't taught how to deal with other people, injury and ingratitude are likely to occur.",,,"""alpha""; 100; If the child isn't taught how to deal with other people, ingratitude and injury are likely to occur.","""nonalpha""; 100; If the child isn't taught how to deal with other people, injury and ingratitude are likely to occur."
101,diamonds,mink,"*-1 Clad in mink and diamonds , she listened to Assistant District Attorney Anthony Liebler describe her to the arraigning judge : `` This girl is the Golden Girl of cafe society .","*-1 Clad in mink and diamonds , she listened to Assistant District Attorney Anthony Liebler describe her to the arraigning judge : `` This girl is the Golden Girl of cafe society .",The girl clad in diamonds and mink listened to the Assistant District Attorney describe her to the arraigning judge.,The girl clad in mink and diamonds listened to the Assistant District Attorney describe her to the arraigning judge.,,,,,,,,-1,422,0.3981042654,0.35794042,0.64205958,The girl clad in X and Y listened to the Assistant District Attorney describe her to the arraigning judge.,The girl clad in diamonds and mink listened to the Assistant District Attorney describe her to the arraigning judge.,The girl clad in mink and diamonds listened to the Assistant District Attorney describe her to the arraigning judge.,,,"""alpha""; 101; The girl clad in diamonds and mink listened to the Assistant District Attorney describe her to the arraigning judge.","""nonalpha""; 101; The girl clad in mink and diamonds listened to the Assistant District Attorney describe her to the arraigning judge."
102,jubilation,regret,966,"On March 21 , 1845 the bark Bashaw weighed anchor at New Orleans , while on the levee Henry and William Palfrey waved farewell to their father 's former chattels who *T*-1 must have looked back at the receding shore with mingled regret and jubilation .",0,1,0,0,0,0,-3.239544679,-3,-1,-1,0,NA,0.35804898,0.64195102,The engineer of the dam looks back with mingled X and Y now that the project is complete.,The engineer of the dam looks back with mingled jubilation and regret now that the project is complete.,The engineer of the dam looks back with mingled regret and jubilation now that the project is complete.,,,"""alpha""; 102; The engineer of the dam looks back with mingled jubilation and regret now that the project is complete.","""nonalpha""; 102; The engineer of the dam looks back with mingled regret and jubilation now that the project is complete."
103,cover,pillows,"The daybed 0 Eugene had slept in *T*-1 , made up now with its dark-brown velours cover and pillows .","The daybed 0 Eugene had slept in *T*-1 , made up now with its dark-brown velours cover and pillows .",The bed with dark-brown cover and pillows had been made up way before the guest arrived.,The bed with dark-brown pillows and cover had been made up way before the guest arrived.,,,,,,,,0,236,0.6271186441,0.64093814,0.64093814,The bed with dark-brown X and Y had been made up way before the guest arrived.,The bed with dark-brown cover and pillows had been made up way before the guest arrived.,The bed with dark-brown pillows and cover had been made up way before the guest arrived.,,,"""alpha""; 103; The bed with dark-brown cover and pillows had been made up way before the guest arrived.","""nonalpha""; 103; The bed with dark-brown pillows and cover had been made up way before the guest arrived."
104,acids,tannin,"By tradition , a red wine should be served *-1 at approximately room temperature -- if anything a little cooler -- and be aged *-1 enough for the tannin and acids to have worked out and the sediment have settled well .","By tradition , a red wine should be served *-1 at approximately room temperature -- if anything a little cooler -- and be aged *-1 enough for the tannin and acids to have worked out and the sediment have settled well .","In order for the acids and tannin to work out, a red wine should be served at approximately room temperature.","In order for the tannin and acids to work out, a red wine should be served at approximately room temperature.",,,,,,,,0,68,1,0.63795354,0.63795354,"In order for the X and Y to work out, a red wine should be served at approximately room temperature.","In order for the acids and tannin to work out, a red wine should be served at approximately room temperature.","In order for the tannin and acids to work out, a red wine should be served at approximately room temperature.",,,"""alpha""; 104; In order for the acids and tannin to work out, a red wine should be served at approximately room temperature.","""nonalpha""; 104; In order for the tannin and acids to work out, a red wine should be served at approximately room temperature."
105,passage,rhythm,864,"I must state that the faster 0 things happened *T*-2 , the slower they happened *T*-3 ; ; the passage and rhythm of time changed , and when I remember back to what *T*-1 happened then *T*-4 , each event is a separate and frozen incident .",0,0,1,0,0,0,1.245924899,0,0,0,0,NA,0.63680063,0.63680063,"When the lovers were together, time's X and Y seemed to change drastically.","When the lovers were together, time's passage and rhythm seemed to change drastically.","When the lovers were together, time's rhythm and passage seemed to change drastically.",,,"""alpha""; 105; When the lovers were together, time's passage and rhythm seemed to change drastically.","""nonalpha""; 105; When the lovers were together, time's rhythm and passage seemed to change drastically."
106,onrush,retreat,839,"Their onrush and retreat , he reported 0 *T*-2 , was accompanied *-1 by a great hissing , roaring and rattling .",0,0,0,0,0,1,-4.572617794,-1,-1,-1,0,NA,0.63597223,0.63597223,The wolves' X and Y were studied closely by the zoologists using a hidden camera.,The wolves' onrush and retreat were studied closely by the zoologists using a hidden camera.,The wolves' retreat and onrush were studied closely by the zoologists using a hidden camera.,,,"""alpha""; 106; The wolves' onrush and retreat were studied closely by the zoologists using a hidden camera.","""nonalpha""; 106; The wolves' retreat and onrush were studied closely by the zoologists using a hidden camera."
107,heat,outcry,522,"And so the sun came up again and for a moment its color was the young men 's blood , * shifting then into the full heat and outcry which *T*-1 ran with their hearts .",0,0,0,0,1,0,4.108585334,1,0,0,0,NA,0.63553879,0.63553879,The superintendent has noticed some X and Y among the assembly line workers.,The superintendent has noticed some heat and outcry among the assembly line workers.,The superintendent has noticed some outcry and heat among the assembly line workers.,,,"""alpha""; 107; The superintendent has noticed some heat and outcry among the assembly line workers.","""nonalpha""; 107; The superintendent has noticed some outcry and heat among the assembly line workers."
108,powers,traditions,1183,"During his two terms the Constitution was tested *-2 and found *-2 workable , strong national policies were inaugurated *-1 , and the traditions and powers of the Presidential office firmly fixed *-3 .",0,0,1,0,0,0,1.147233255,0,0,0,200,0.715,0.63459714,0.63459714,The Presidential office's X and Y were firmly upheld during his term as president.,The Presidential office's powers and traditions were firmly upheld during his term as president.,The Presidential office's traditions and powers were firmly upheld during his term as president.,,,"""alpha""; 108; The Presidential office's powers and traditions were firmly upheld during his term as president.","""nonalpha""; 108; The Presidential office's traditions and powers were firmly upheld during his term as president."
109,gibes,quibs,941,"With quibs and gibes , the policemen again started *-1 digging .",0,0,0,0,0,0,5.395117632,0,0,0,0,NA,0.63312433,0.63312433,x,x,x,,yes,"""alpha""; 109; x","""nonalpha""; 109; x"
110,courthouse,square,"Whoever it was *T*-2 had meant *-3 to shut him up in here , had followed him and waited till the courthouse and square were deserted *-1 .","Whoever it was *T*-2 had meant *-3 to shut him up in here , had followed him and waited till the courthouse and square were deserted *-1 .",The assassin had followed him and waited till the courthouse and square were deserted to shut him up.,The assassin had followed him and waited till the square and courthouse were deserted to shut him up.,,,,,,,,0,181,0.4475138122,0.36837633,0.63162367,The assassin had followed him and waited till the X and Y were deserted to shut him up.,The assassin had followed him and waited till the courthouse and square were deserted to shut him up.,The assassin had followed him and waited till the square and courthouse were deserted to shut him up.,,,"""alpha""; 110; The assassin had followed him and waited till the courthouse and square were deserted to shut him up.","""nonalpha""; 110; The assassin had followed him and waited till the square and courthouse were deserted to shut him up."
111,ivory,sandalwood,606,"*-1 Rummaging through a stack of drawers nearby , you unearthed an antique French chess set in ivory and sandalwood , which , along with two box Kodaks , you added *T*-2 to your haul .",0,0,0,1,0,0,2.635387541,0,0,0,390,0.6461538462,0.6296183,0.6296183,The antique French chess set in X and Y was passed down to me from my grandfather.,The antique French chess set in ivory and sandalwood was passed down to me from my grandfather.,The antique French chess set in sandalwood and ivory was passed down to me from my grandfather.,,,"""alpha""; 111; The antique French chess set in ivory and sandalwood was passed down to me from my grandfather.","""nonalpha""; 111; The antique French chess set in sandalwood and ivory was passed down to me from my grandfather."
112,kind,scale,632,Before you look for a farm you 'll need *-1 to know -LRB- 1 -RRB- the kind and scale of farming 0 you want *-2 to undertake *T*-3 ; ; and -LRB- 2 -RRB- whether you want *-4 to buy or rent .,0,0,1,0,0,0,0.8453691649,0,0,0,923,0.6684723727,0.62782267,0.62782267,"In order to begin, John must on the X and Y of farming he wants to undertake.","In order to begin, John must on the kind and scale of farming he wants to undertake.","In order to begin, John must on the scale and kind of farming he wants to undertake.",,,"""alpha""; 112; In order to begin, John must on the kind and scale of farming he wants to undertake.","""nonalpha""; 112; In order to begin, John must on the scale and kind of farming he wants to undertake."
113,glance,signal,467,"Spencer 's potential followers were openly sullen and morose , *-2 missing muster without excuse , expressing in ominous tones their displeasure at the prisoners being kept *-1 in irons , communicating with the three by glance and signal .",0,1,0,0,0,0,-0.8803168244,1,1,1,0,NA,0.62617056,0.62617056,The agents communicating with each other by X and Y were on a secret mission.,The agents communicating with each other by glance and signal were on a secret mission.,The agents communicating with each other by signal and glance were on a secret mission.,,,"""alpha""; 113; The agents communicating with each other by glance and signal were on a secret mission.","""nonalpha""; 113; The agents communicating with each other by signal and glance were on a secret mission."
114,emeralds,peanuts,"Conclusions : The people involved -LRB- and subsequent facts bear me out here -RRB- knew clearly the relative values of peanuts and emeralds , both monetary and sentimental .","Conclusions : The people involved -LRB- and subsequent facts bear me out here -RRB- knew clearly the relative values of peanuts and emeralds , both monetary and sentimental .",Those crazy people knew clearly the relative values of emeralds and peanuts but insisted on selling them at the same price.,Those crazy people knew clearly the relative values of peanuts and emeralds but insisted on selling them at the same price.,,,,,,,,-1,0,NA,0.37390201,0.62609799,Those crazy people knew clearly the relative values of X and Y but insisted on selling them at the same price.,Those crazy people knew clearly the relative values of emeralds and peanuts but insisted on selling them at the same price.,Those crazy people knew clearly the relative values of peanuts and emeralds but insisted on selling them at the same price.,,,"""alpha""; 114; Those crazy people knew clearly the relative values of emeralds and peanuts but insisted on selling them at the same price.","""nonalpha""; 114; Those crazy people knew clearly the relative values of peanuts and emeralds but insisted on selling them at the same price."
115,stub,twister,1113,"She is a regular stub and twister , double geered .",0,0,0,0,0,0,1.66613238,1,1,1,0,NA,0.62570856,0.62570856,x,x,x,,,"""alpha""; 115; x","""nonalpha""; 115; x"
116,maps,registers,711,"-LRB- I myself have identified about sixty sites , from the old maps and registers .",0,0,0,0,0,0,1.234119162,2,2,1,159,0.641509434,0.62525745,0.62525745,From the X and Y the expert has identified six potential excavation sites.,From the maps and registers the expert has identified six potential excavation sites.,From the registers and maps the expert has identified six potential excavation sites.,,,"""alpha""; 116; From the maps and registers the expert has identified six potential excavation sites.","""nonalpha""; 116; From the registers and maps the expert has identified six potential excavation sites."
117,clerks,postmasters,Clerks and postmasters *ICH*-2 shoveled muck out of their offices -- those who *T*-1 still had offices -- and wondered how * to move the mail *T*-3 .,Clerks and postmasters *ICH*-2 shoveled muck out of their offices -- those who *T*-1 still had offices -- and wondered how * to move the mail *T*-3 .,The exhausted clerks and postmasters shoveled dirt out of their offices and wondered how to move the mail.,The exhausted postmasters and clerks shoveled dirt out of their offices and wondered how to move the mail.,,,,,,,,1,247,0.2631578947,0.62349979,0.62349979,The exhausted X and Y shoveled dirt out of their offices and wondered how to move the mail.,The exhausted clerks and postmasters shoveled dirt out of their offices and wondered how to move the mail.,The exhausted postmasters and clerks shoveled dirt out of their offices and wondered how to move the mail.,,,"""alpha""; 117; The exhausted clerks and postmasters shoveled dirt out of their offices and wondered how to move the mail.","""nonalpha""; 117; The exhausted postmasters and clerks shoveled dirt out of their offices and wondered how to move the mail."
118,neighborliness,politeness,905,"The career of Eichmann made the Trial a potential showcase for anti-Semitic demoralization : *-3 fearful of *-4 being mistaken *-1 for a Jew , he seeks protection in his Nazi uniform ; ; *-5 clinging to the enemy-Jew idea , he is forced *-5 to overcome habits of politeness and neighborliness ; ; once in power he begins *-6 to give vent to a criminal opportunism that *T*-2 causes him to alternate between megalomania and envy of those above him .",-1,0,0,0,0,0,-2.461227962,-2,-2,0,0,NA,0.37744286,0.62255714,"Because of his X and Y, Jack is on good terms with everyone in his community.","Because of his neighborliness and politeness, Jack is on good terms with everyone in his community.","Because of his politeness and neighborliness, Jack is on good terms with everyone in his community.",,,"""alpha""; 118; Because of his neighborliness and politeness, Jack is on good terms with everyone in his community.","""nonalpha""; 118; Because of his politeness and neighborliness, Jack is on good terms with everyone in his community."
119,nationalism,sentiment,1036,And so well *ICH*-3 is such ignorance preserved *-1 by the amateur and the money-maker that even at the college level most of the hundred-odd folklore courses given * in the United States survive on sentiment and nationalism alone .,-1,0,0,0,0,0,-0.2475673263,-2,1,0,164,0,0.3791879,0.6208121,Books that are marketed via X and Y are not popular anymore.,Books that are marketed via nationalism and sentiment are not popular anymore.,Books that are marketed via sentiment and nationalism are not popular anymore.,,,"""alpha""; 119; Books that are marketed via nationalism and sentiment are not popular anymore.","""nonalpha""; 119; Books that are marketed via sentiment and nationalism are not popular anymore."
